Clermont-Ferrand,03,15,43,63,,,,
Grenoble,07,26,38,73,74,,,
Lyon,01,42,69,,,,,
Besançon,25,39,70,90,,,,
Dijon,21,58,71,89,,,,
Rennes,22,29,35,56,,,,
Orléans-Tours,18,28,36,37,41,45,,
Corse,2A,2B,,,,,,
Nancy-Metz,54,55,57,88,,,,
Reims,08,10,51,52,,,,
Strasbourg,67,68,,,,,,
Guadeloupe,971,977,978,,,,,
Guyane,973,,,,,,,
Amiens,02,60,80,,,,,
Lille,59,62,,,,,,
Créteil,77,93,94,,,,,
Paris,75,,,,,,,
Versailles,78,91,92,95,,,,
Martinique,972,,,,,,,
Normandie,14,50,61,27,76,975,,
Bordeaux,24,33,40,47,64,,,
Limoges,19,23,87,,,,,
Poitiers,16,17,79,86,,,,
Montpellier,11,30,34,48,66,,,
Toulouse,09,12,31,32,46,65,81,82
Nantes,44,49,53,72,85,,,
Aix-Marseille,04,05,13,84,,,,
Nice,06,83,,,,,,
La Réunion,974,,,,,,,
Mayotte,976,,,,,,,